series,firstname,lastname,gender,codename,form,media,icon_id,image_id,sephiras,angels,astraldresses,birthdate,height,weight,bust,waist,hips,class,spacequake_class,angel_class,astraldress_class,strength,consistency,spirit_power,agility,intelligence,rank,attack,combo,support,defense,control,damage,elements,wiki_link,spoiler
,Tohka,Yatogami,,Princess,Spirit,lsamvg,1101011,,s:Malkuth:Kingdom::,a:Sandalphon:Massacre Ruler:,ad:Adonai Melek:10,April 10,155,49,84,58,83,AAA,B,AAA,AAA,230,202,125,142,32,A,60,40,18,60,45,78,p,Tohka_Yatogami#Spirit_Form_,
,Tohka,Yatogami,,Princess,Inverse Spirit,lag,1101014,1101031,q:Nehemoth:Whispers:Malkuth:,d:Nahemah:Tyrant Ruler:Naamah_(demon),,April 10,155,49,84,58,83,SS,A,AAA,AAA,240,178,201,150,33,SS,95,61,39,80,39,100,d,Tohka_Yatogami#Inverse_Form_,
,Tohka,Yatogami,,Princess,Full,mg,1101015,,s:Malkuth:Kingdom::,a:Sandalphon:Massacre Ruler:;a:Shekinah:Emperor of Annihilation:,ad:Adonai Melek Ensufall:10000,April 10,155,49,84,58,83,,,,,,,,,,S,95,95,20,60,58,80,ph,Tohka_Yatogami#Full_Form_,
,Tohka,Yatogami,,Princess,Dea,l,,,s:Malkuth:Kingdom::,a:Sandalphon:Massacre Ruler:;d:Nahemah:Tyrant Ruler:Naamah_(demon),,April 10,155,49,84,58,83,,,,,,,,,,,,,,,,,,Tohka_Yatogami#Dea_Form_,true
,Tohka,Yatogami,,Princess,Beast,l,,4/42/Beast_(Parallel_World_Tohka),q:Nehemoth:Whispers:Malkuth:,a:Sandalphon:Massacre Ruler:;a:Metatron:Angel of Extinction:;a:Rasiel:Tome of Revelation:;a:Zafkiel:Time Emperor:;a:Zadkiel:Freezing Puppet:;a:Camael:Bright Burning Annihilating Demon:;a:Michael:Seal-Removing Lord:Michael_(archangel);a:Haniel:Forgery Witch:;a:Raphael:Hurricane Knight:Raphael_(archangel);a:Gabriel:Army-Breaking Songstress:;d:Nahemah:Tyrant Ruler:Naamah_(demon),,April 10,155,49,84,58,83,SSS,SS,SSS,SS,510,492,502,345,32,,,,,,,,,Tohka_Yatogami_(Parallel_World),true
,Yoshino,Himekawa,,Hermit,Spirit,lsamvg,1103011,,s:Chesed:Kindness::,a:Zadkiel:Freezing Puppet:,ad:El:4,March 20,144,35,73,55,78,B,C,AA,B,95,82,199,212,152,B,40,50,60,25,60,39,i,Yoshino_Himekawa#Spirit_Form__,
,Yoshino,Himekawa,,Hermit,Ice Princess,g,1103021,,s:Chesed:Kindness::,a:Zadkiel:Freezing Puppet:,ad:El:4,March 20,144,35,73,55,78,,,,,,,,,,S,81,62,62,78,78,65,i,,
,Yoshino,Himekawa,,Hermit,Shiryon,lg,1103131,,s:Chesed:Kindness::,a:Zadkiel:Freezing Puppet:,ad:El:4,March 20,144,35,73,55,78,,,,,,,,,,,,,,,,,,Yoshino_Himekawa#Spirit_Form__,
,Kurumi,Tokisaki,,Nightmare,Spirit,lsamvg,1104011,,s:Binah:Understanding:Binah_(Kabbalah):,a:Zafkiel:Time Emperor:,ad:Elohim:3,June 10,157,48,85,59,87,S,C,S,C,109,80,220,103,201,S,80,76,76,59,59,78,d,Kurumi_Tokisaki#Spirit_Form_,
,Kurumi,Tokisaki,,Nightmare,Crimson Nightmare,g,1104023,1104016,s:Binah:Understanding:Binah_(Kabbalah):,a:Zafkiel:Time Emperor:,ad:Elohim:3,June 10,157,48,85,59,87,,,,,,,,,,SS,95,85,85,100,85,61,d,,
,Kurumi,Tokisaki,,Nightmare,Wizard Spirit,s,,,s:Binah:Understanding:Binah_(Kabbalah):,a:Zafkiel:Time Emperor:,ad:Elohim:3;cr:Atlach-Nacha:,June 10,157,48,85,59,87,,,,,,,,,,,,,,,,,,Kurumi_Tokisaki#Spirit_Form_,
,Kurumi,Tokisaki,,Nightmare,Double Spirit,l,,,s:Binah:Understanding:Binah_(Kabbalah):;s:Chokhmah:Wisdom::,a:Zafkiel:Time Emperor:;a:Rasiel:Tome of Revelation:,,June 10,157,48,85,59,87,,,,,,,,,,,,,,,,,,Kurumi_Tokisaki#Rasiel,true
,Kurumi,Tokisaki,,,Ratatoskr Wizard,l,,,,w:Yggdra Folium::,,June 10,157,48,85,59,87,,,,,,,,,,,,,,,,,,Kurumi_Tokisaki#Wizard,true
,Mana,Takamiya,,,DEM Wizard,lamg,1106011,,,w:Murakumo::,cr:Murakumo:,,147,,,,,,,,,,,,,,A,55,77,30,30,30,77,l,Mana_Takamiya,
,Mana,Takamiya,,,Ratatoskr Wizard,lsamvg,1106021,,,w:Vanargandr::,cr:Vanargandr:,,147,,,,,,,,,,,,,,AA,77,62,40,59,40,77,pl,Mana_Takamiya#CR-Unit,
,Kotori,Itsuka,,Efreet,Spirit,lsamvg,1105011,,s:Geburah:Severity::,a:Camael:Bright Burning Annihilating Demon:,ad:Elohim Gibor:5,August 3,145,48,72,53,74,AA,B,AA,A,150,100,215,130,178,S,80,57,34,95,55,80,pf,Kotori_Itsuka#Spirit_Form,
,Rinne,Sonogami,,Ruler,Irregular Spirit,vg,1133011,,,a:Eden:Paradise of Calamity:Garden_of_Eden,,,,,,,,SS,S,SS,S,110,180,210,101,170,SS,99,73,55,62,72,93,m,Rinne_Sonogami#Spirit_Form,
,Rinne,Sonogami,,Ruler,Irregular Spirit (Eden),v,1133011,,,a:Eden:Paradise of Calamity:Garden_of_Eden,,,,,,,,SS,S,SS,S,205,220,244,209,200,,,,,,,,,Rinne_Sonogami#Spirit_Form,
,Ellen,Mathers,,,DEM Wizard,lsamvg,1109011,,,w:Pendragon::,cr:Pendragon:,,160,,86,60,87,,,,,,,,,,S,77,65,32,100,50,82,pl,Ellen_Mira_Mathers#CR-Unit,
,Kaguya,Yamai,,Berserk,Spirit,lsamvg,1107011,,s:Hod:Splendor:Hod_(Kabbalah):,a:Raphael:Hurricane Knight:Raphael_(archangel),ad:Elohim Tzabaoth:8,October 18,157,,79,56,81,AAA,AA,AA,B,180,140,179,240,69,AA,73,62,53,53,30,80,pt,Yamai_Kazamachi#Kaguya_Yamai,
