series,firstname,lastname,gender,codename,form,icon_id,image_id,sephiras,sephira_subtitles,angels,angel_subtitles,astraldress,birthday,height,weight,B,W,H,class,STR,CST,SPI,AGI,INT,rank,ATK,CMB,SUP,DEF,CTR,DPS,elDMG,theme,spoiler


,Tohka,Yatogami,,Princess,Spirit,1101011,,s:Malkuth,Kingship,a:Sandalphon,Massacre Ruler,ad:Adonai Melek:10,April 10,155,49,84,58,83,aaa,230,202,125,142,32,a,60,40,18,60,45,78,p,ce57f0,
,Tohka,Yatogami,,Princess,Inverse Spirit,1101014,1101031,q:Nehemoth:Malkuth,Whispers,d:Nahemah:Naamah_(demon),Tyrant Ruler,,April 10,155,49,84,58,83,ss,240,178,201,150,33,ss,95,61,39,80,39,100,d,ce57f0,
,Tohka,Yatogami,,Princess,Full,1101015,,s:Malkuth,Kingship,a:Sandalphon;a:Shekinah,Massacre Ruler;Emperor of Annihilation,ad:Adonai Melek Ensufall:10,April 10,155,49,84,58,83,,,,,,,s,95,95,20,60,58,80,ph,ce57f0,
,Tohka,Yatogami,,Princess,Dea,,,s:Malkuth,Kingship,a:Sandalphon;d:Nahemah:Naamah_(demon),Massacre Ruler;Tyrant Ruler,,April 10,155,49,84,58,83,,,,,,,,,,,,,,,ce57f0,true

,Yoshino,Himekawa,,Hermit,Spirit,1103011,,s:Chesed,Kindness,a:Zadkiel,Freezing Puppet,ad:El:4,,144,35,73,55,78,b,95,82,199,212,152,b,40,50,60,25,60,39,i,44bf2b,
,Yoshino,Himekawa,,Hermit,Ice Princess,1103021,,s:Chesed,Kindness,a:Zadkiel,Freezing Puppet,ad:El:4,,144,35,73,55,78,,,,,,,s,81,62,62,78,78,65,i,44bf2b,

,Kurumi,Tokisaki,,Nightmare,Spirit,1104011,,s:Binah:Binah_(Kabbalah),Understanding,a:Zafkiel,Time Emperor,ad:Elohim:3,,157,48,85,59,87,s,109,80,220,103,201,s,80,76,76,59,59,78,d,dc060e,
,Kurumi,Tokisaki,,Nightmare,Crimson Nightmare,1104023,1104016,s:Binah:Binah_(Kabbalah),Understanding,a:Zafkiel,Time Emperor,ad:Elohim:3,,157,48,85,59,87,,,,,,,ss,95,85,85,100,85,61,d,dc060e,
,Kurumi,Tokisaki,,Nightmare,Double Spirit,,,s:Binah:Binah_(Kabbalah);s:Chokhmah,Understanding;Wisdom,a:Zafkiel;a:Rasiel,Time Emperor;Tome of Revelation,,,157,48,85,59,87,,,,,,,,,,,,,,,dc060e,true

,Mana,Takamiya,,,DEM Wizard,1106011,,,,w:Murakumo,,cr:Murakumo,,147,,,,,,,,,,,a,55,77,30,30,30,77,l,54a7f9,
,Mana,Takamiya,,,Ratatoskr Wizard,1106021,,,,w:Vanargandr,,cr:Vanargandr,,147,,,,,,,,,,,aa,77,62,40,59,40,77,pl,54a7f9,

,Kotori,Itsuka,,Efreet,Spirit,1105011,,s:Geburah,Severity,a:Camael,Bright Burning Annihilating Demon,ad:Elohim Gibor:5,August 3,145,48,72,53,74,aa,150,100,215,130,178,s,80,57,34,95,55,80,pf,ff526b,

